age;gender;address;Medu;Fedu;internet;romantic;freetime;health;studytime;failures;schoolsup;famsup;paid;absences;G3
21;1;1;1;0;1;0;1;2;4;1;0;1;0;4.0;17.0
18;0;1;0;2;1;1;4;1;1;3;1;0;1;25.0;10.0
19;1;0;2;1;1;0;1;4;4;3;1;1;1;9.0;17.0
21;1;1;0;3;1;0;4;2;3;0;1;1;0;29.0;19.0
17;1;1;0;3;1;1;4;4;2;3;1;0;0;32.0;11.0
19;1;1;1;1;0;0;2;2;2;1;1;1;0;28.0;14.0
19;0;1;3;2;1;1;3;2;4;0;1;0;0;37.0;20.0
21;0;1;0;0;1;1;1;4;4;0;0;1;0;17.0;16.0
16;0;0;2;0;1;0;2;2;3;1;1;0;0;38.0;14.0
17;1;0;2;3;1;1;1;4;3;2;1;0;1;22.0;18.0
21;0;0;3;1;1;0;4;1;4;3;1;0;0;24.0;16.0
17;1;1;2;3;1;1;1;4;4;0;1;0;0;32.0;20.0
17;0;0;3;1;1;1;3;1;3;2;0;0;0;1.0;18.0
19;0;1;2;0;1;1;4;2;1;1;0;1;1;33.0;13.0
18;0;1;1;2;0;0;4;4;3;3;1;1;1;31.0;15.0
17;1;1;0;1;1;1;2;2;1;3;1;1;1;15.0;8.0
20;0;1;1;0;1;0;3;4;2;0;1;0;1;4.0;19.0
19;0;0;0;3;1;1;4;1;2;3;0;1;0;5.0;14.0
16;1;0;0;1;1;1;3;1;3;3;0;0;1;46.0;7.0
18;0;1;0;2;0;0;1;4;1;3;0;0;0;34.0;6.0
20;1;0;1;3;0;0;3;1;3;3;0;1;0;6.0;16.0
20;0;1;0;3;0;0;4;2;3;1;1;0;0;18.0;17.0
16;1;0;1;0;0;0;2;2;1;2;0;1;0;30.0;7.0
18;1;0;3;1;0;0;4;3;3;1;0;0;0;42.0;17.0
19;0;1;2;3;0;1;3;1;2;1;1;0;0;2.0;20.0
15;1;0;2;2;0;1;3;2;4;0;1;1;1;12.0;20.0
18;1;1;0;1;0;0;4;4;4;3;0;0;1;44.0;10.0
16;1;0;1;2;0;1;3;1;3;1;0;1;1;0.0;19.0
20;1;1;2;3;0;1;1;2;1;3;0;0;1;10.0;13.0
19;1;1;1;2;0;1;4;1;1;1;0;1;1;48.0;13.0
18;1;0;1;0;0;0;2;4;2;1;1;0;0;31.0;12.0
15;0;0;0;2;0;1;4;2;1;0;1;1;1;13.0;16.0
15;1;1;2;1;0;1;1;3;1;2;0;1;1;3.0;13.0
17;1;0;0;2;0;1;1;3;2;2;0;0;1;1.0;13.0
17;0;0;0;2;0;0;1;1;3;1;0;1;0;12.0;13.0
21;0;1;2;0;1;1;1;4;4;0;0;0;0;44.0;16.0
16;0;1;2;2;0;1;1;2;2;3;0;0;0;21.0;10.0
18;0;0;3;2;1;0;2;4;3;3;1;1;1;36.0;17.0
18;0;1;3;3;0;0;3;2;2;1;1;1;1;46.0;18.0
21;0;1;1;3;0;1;1;1;3;2;1;1;1;20.0;15.0
20;0;1;2;1;1;1;1;2;2;0;0;1;1;10.0;19.0
20;1;0;3;3;0;0;4;4;3;2;0;1;1;26.0;20.0
21;1;0;1;3;1;0;2;4;2;3;1;0;0;45.0;12.0
20;0;1;1;3;1;0;2;1;3;2;1;1;1;40.0;15.0
17;1;0;1;3;1;0;3;4;2;3;0;0;0;3.0;17.0
18;1;1;3;0;0;0;2;2;4;0;1;1;1;35.0;18.0
21;1;0;2;3;0;0;4;1;4;0;0;1;0;29.0;20.0
18;0;1;0;0;0;0;4;2;1;1;0;1;0;45.0;8.0
15;0;1;1;0;1;1;3;4;3;1;1;0;0;6.0;16.0
17;1;0;3;3;1;0;4;1;2;2;1;1;0;27.0;19.0
19;0;1;3;2;0;0;1;2;3;0;1;0;1;44.0;18.0
17;1;0;0;0;0;1;1;4;4;0;0;0;1;21.0;14.0
21;1;0;0;2;0;0;4;4;3;1;0;0;1;24.0;17.0
19;1;1;3;2;0;0;3;3;2;3;1;1;0;4.0;18.0
15;1;1;2;3;0;1;2;4;3;2;0;0;1;14.0;18.0
21;0;0;0;1;1;0;3;2;2;2;0;1;1;16.0;12.0
16;0;1;3;3;1;1;2;1;4;1;0;0;1;47.0;19.0
18;0;1;0;1;1;1;4;3;4;0;1;1;1;14.0;20.0
15;1;1;2;1;0;1;4;4;4;1;0;0;0;23.0;18.0
18;0;1;1;3;1;1;1;4;1;1;1;1;0;34.0;15.0
20;1;1;0;3;1;0;2;4;4;1;1;1;1;8.0;20.0
16;0;0;2;1;1;1;3;2;3;1;0;1;1;24.0;17.0
16;1;0;3;3;1;1;4;3;1;3;1;0;1;37.0;15.0
15;1;1;0;1;1;0;3;2;4;3;0;0;0;43.0;8.0
16;1;1;0;2;0;1;1;3;3;0;1;1;0;31.0;15.0
19;0;1;3;3;1;1;2;1;3;1;1;0;0;33.0;19.0
16;0;0;1;2;0;1;2;2;3;3;0;0;1;6.0;12.0
18;0;1;3;0;0;1;4;2;2;0;1;0;0;47.0;15.0
18;0;0;0;2;0;0;2;1;1;1;1;0;0;7.0;13.0
21;1;0;3;2;0;1;4;3;3;2;1;0;0;39.0;16.0
18;0;0;2;1;0;0;1;4;2;3;0;0;0;13.0;11.0
21;0;1;3;2;1;0;2;1;4;0;0;0;0;47.0;20.0
18;1;0;0;3;1;1;4;4;3;2;1;1;1;36.0;16.0
19;1;1;3;1;0;1;3;4;2;1;1;1;1;38.0;16.0
21;1;0;1;0;0;1;4;1;3;1;1;0;1;11.0;14.0
17;0;1;3;3;0;1;2;3;1;1;0;1;1;22.0;20.0
20;1;0;1;0;1;0;1;4;1;3;0;1;0;31.0;8.0
15;1;1;2;2;0;0;2;1;4;0;1;1;1;38.0;19.0
18;1;0;1;3;1;0;2;2;3;2;0;0;1;5.0;18.0
16;0;1;3;3;0;1;4;2;2;0;0;0;1;48.0;19.0
18;1;1;0;0;1;0;3;2;4;3;0;0;0;45.0;7.0
16;0;1;1;3;0;1;2;1;3;0;0;0;1;14.0;19.0
20;0;1;2;3;1;1;3;2;4;3;1;0;0;41.0;15.0
20;1;0;1;3;0;1;4;4;2;1;0;1;0;26.0;18.0
20;1;0;1;2;1;1;3;2;4;2;0;0;0;23.0;16.0
16;0;1;1;0;1;1;4;2;4;1;1;1;1;16.0;17.0
18;1;0;2;3;1;0;1;4;4;0;1;0;0;29.0;20.0
20;1;1;3;1;1;0;3;2;3;1;0;1;1;36.0;17.0
19;0;1;1;1;1;1;3;4;2;2;0;0;1;21.0;13.0
21;0;0;1;1;1;0;1;2;1;1;1;0;1;31.0;12.0
16;1;1;0;1;1;1;3;4;3;2;1;0;0;35.0;12.0
16;0;1;2;2;0;1;1;2;1;2;1;0;0;36.0;10.0
18;1;0;1;3;0;1;2;4;1;1;0;0;1;3.0;18.0
16;1;1;2;0;0;0;4;1;3;3;0;0;0;43.0;7.0
16;1;1;1;3;0;1;1;4;3;0;1;1;0;23.0;20.0
20;0;1;3;2;0;1;3;2;2;3;0;0;0;13.0;14.0
18;1;1;3;1;1;0;1;2;2;3;1;1;1;12.0;16.0
20;1;0;1;2;1;0;3;3;4;1;0;0;0;24.0;18.0
21;1;0;3;3;1;0;2;4;1;0;1;1;0;44.0;20.0
21;0;0;1;0;1;1;1;1;2;0;1;1;1;19.0;14.0
20;0;1;3;2;1;1;2;4;4;3;0;1;0;37.0;16.0
21;0;1;0;0;0;0;4;4;2;1;0;1;1;5.0;14.0
18;0;0;0;2;0;1;3;1;3;0;0;1;0;24.0;15.0
15;0;1;0;0;0;0;3;4;2;3;0;1;0;50.0;5.0
20;1;1;2;0;0;0;2;1;1;0;0;0;0;39.0;11.0
19;0;1;2;1;1;1;4;1;2;1;0;1;0;11.0;17.0
19;0;1;0;0;1;1;1;4;1;1;1;0;0;25.0;11.0
16;0;0;2;1;1;0;1;4;3;1;0;0;0;12.0;18.0
21;1;0;3;3;0;0;3;2;1;0;1;1;1;20.0;20.0
19;0;0;1;3;1;0;2;2;2;2;1;1;0;39.0;14.0
